APIR / Ticker,Official Name,Mstar IO name,Centric IO name,AMG IO name,DASH - Super Simplifier IO Name,PlatformPlus IO Name
ETL0490AU,L1 Capital Long Short Fund - Daily Class,L1 Capital Long Short - Daily,L1 Capital Long Short Fund,L1 Capital Long Short Fund,L1 Capital Long Short,
MAQ0842AU,Charter Hall Direct Office Fund—Wholesale A Units,Charter Hall Direct Office Wholesale A,Charter Hall Direct Office Fund,,Charter Hall Direct Office,
AMP1179AU,Dexus Core Infrastructure Fund Platform (Class A units),Dexus Core Infrastructure A,Dexus Core Infrastructure Fund,AMP Capital Core Infrastructure Fund- Class A,AMP Capital Core Infrastructure,AMP Capital Core Infrastructure A
DDH0002AU,Selector Australian Equities Fund,Selector Australian Equities,,Selector  Australian Equities Fund,,
MAQ5703AU,Charter Hall Direct Long WALE Fund,Charter Hall Direct Long WALE,,,,Charter Hall Long WALE Fund
CD1,CD Private Equity Fund I,Cordish Dixon Private Equity Fund I,,Cordish Dixon Private Equity Fund I,,
ETL0480AU,Partners Group Global Real Estate Fund (AUD),Partners Group Global Real Estate Fd AUD,,,Partners Group Global Real Estate,
MAQ0854AU,Charter Hall Direct Industrial Fund No.4,Charter Hall Direct Industrial No.4,Charter Hall Direct Industrial Fund No. 4,,Charter Hall Direct Industrial No.4,Charter Hall Direct Industrial Fund No 4
HGI1794AU,Janus Henderson Global Multi-Strategy Fund - Institutional,Janus Henderson Global Multi-Strat Instl,,,,Janus Henderson Global Multi-Strat Instl
HGI4648AU,Janus Henderson Global Multi-Strategy Fund,Janus Henderson Global Multi-Strategy,,Janus Henderson Global Multi-Strategy Fund,Janus Henderson Global Multi-Strategy Fund,
LTC1706AU,La Trobe US Private Credit Fund - Class B Retail,La Trobe US Private Credit B,,,La Trobe US Private Credit B,
AUS0112AU,Australian Unity Healthcare Property Trust Wholesale Units,Aus Unity Healthcare Property Wholesale,,Australian Unity Wholesale Healthcare Property Trust,,
AUS0037AU,Australian Unity Healthcare Property Trust Class A Units,AUI Healthcare Property Trust A,,,,AUI Healthcare Property Trust A
DEU0109AU,Ironbark GCM Global Macro Fund,Ironbark GCM Global Macro,,Ironbark Global Diversified Alternatives Fund,Ironbark GCM Global Macro,
CTR0438AU,Centuria Healthcare Property Fund,Centuria Healthcare Property,,,Centuria Healthcare Property,
ETL3560AU,BNP Paribas C WorldWide Global Equity Trust (Hedged),BNP Paribas C WorldWide Glbl EqTrust hdg,,,,
PIM1015AU,Hamilton Lane Global Private Assets Fund (AU) - Class S,Hamilton Lane Global Private Asst(AUD)H,Hamilton Lane Global Private Assets Fund (AUD) - Hedged,,Hamilton Lane Global Private Assets Fund (PEP),Hamilton Lane Global Private Asst(AUD)H
PIM8461AU,Hamilton Lane Global Private Assets Fund (AU) - Class U,Hamilton Lane Glbl Pvt Ast (AUD) Unhdg,Hamilton Lane Global Private Assets Fund (AUD) - Unhedged,,,
