APIR / Ticker,Mstar IO name,Centric IO name,AMG IO name,DASH - Super Simplifier IO Name,PlatformPlus IO Name,Official Name
ETL0490AU,L1 Capital Long Short - Daily,L1 Capital Long Short Fund,L1 Capital Long Short Fund,L1 Capital Long Short,,L1 Capital Long Short Fund - Daily Class
MAQ0842AU,Charter Hall Direct Office Wholesale A,Charter Hall Direct Office Fund,,Charter Hall Direct Office,,Charter Hall Direct Office Fund
AMP1179AU,Dexus Core Infrastructure A,Dexus Core Infrastructure Fund,AMP Capital Core Infrastructure Fund- Class A,AMP Capital Core Infrastructure,AMP Capital Core Infrastructure A,Dexus Core Infrastructure Fund Platform (Class A units)
DDH0002AU,Selector Australian Equities,,Selector  Australian Equities Fund,,,Selector Australian Equities Fund
MAQ5703AU,Charter Hall Direct Long WALE,,,,Charter Hall Long WALE Fund,Charter Hall Direct Long WALE Fund
CD1,Cordish Dixon Private Equity Fund I,,Cordish Dixon Private Equity Fund I,,,CD Private Equity Fund I
ETL0480AU,Partners Group Global Real Estate Fd AUD,,,Partners Group Global Real Estate,,Partners Group Global Real Estate Fund (AUD)
MAQ0854AU,Charter Hall Direct Industrial No.4,Charter Hall Direct Industrial Fund No. 4,,Charter Hall Direct Industrial No.4,Charter Hall Direct Industrial Fund No 4,Charter Hall Direct Industrial Fund No.4
HGI1794AU,Janus Henderson Global Multi-Strat Instl,,,,Janus Henderson Global Multi-Strat Instl,Janus Henderson Global Multi-Strategy Fund - Institutional
HGI4648AU,Janus Henderson Global Multi-Strategy,,Janus Henderson Global Multi-Strategy Fund,Janus Henderson Global Multi-Strategy Fund,,Janus Henderson Global Multi-Strategy Fund
LTC1706AU,La Trobe US Private Credit B,,,La Trobe US Private Credit B,,La Trobe US Private Credit Fund - Class B Retail
AUS0112AU,Aus Unity Healthcare Property Wholesale,,Australian Unity Wholesale Healthcare Property Trust,,,Australian Unity Healthcare Property Trust Wholesale Units
AUS0037AU,AUI Healthcare Property Trust A,,,,AUI Healthcare Property Trust A,Australian Unity Healthcare Property Trust Class A Units
DEU0109AU,Ironbark GCM Global Macro,,Ironbark Global Diversified Alternatives Fund,Ironbark GCM Global Macro,,Ironbark GCM Global Macro Fund
CTR0438AU,Centuria Healthcare Property,,,Centuria Healthcare Property,,Centuria Healthcare Property Fund
ETL3560AU,BNP Paribas C WorldWide Glbl EqTrust hdg,,,,,BNP Paribas C WorldWide Global Equity Trust (Hedged)
PIM1015AU,Hamilton Lane Global Private Asst(AUD)H,Hamilton Lane Global Private Assets Fund (AUD) - Hedged,,Hamilton Lane Global Private Assets Fund (PEP),Hamilton Lane Global Private Asst(AUD)H,Hamilton Lane Global Private Assets Fund (AU)
PIM8461AU,Hamilton Lane Glbl Pvt Ast (AUD) Unhdg,Hamilton Lane Global Private Assets Fund (AUD) - Unhedged,,,,Hamilton Lane Global Private Assets Fund (AUD)
ETL7896AU,Neuberger Berman Glbl Priv Eq Access UnH,Neuberger Berman Global Private Equity Access Fund (AUD),,,,Neuberger Berman Global Private Equity Access Fund (AUD)
HFL0104AU,Fulcrum Diversified Investments Fund,,Ironbark LHP Diversified Investments,Ironbark LHP Diversified Investments Hedged,,Fulcrum Diversified Investments Fund
LAM0044AU,Alceon Australian Property Fund,Freehold Australian Property,,Alceon Australia Property Fund,,Alceon Australian Property Fund
YOC0100AU,Newmark Property Income Fund,,Australian Unity Wholesale Property Income Fund,Australian Unity Property Income Fund,Australian Unity Property Income Fund,Australian Unity Property Income Fund - Wholesale Units
ETL0431AU,Partners Group Global Multi-Asset,,Partners Group Global Multi-Asset Fund,Partners Group Global Multi Asset,Partners Group Global Multi-Asset,Partners Group Global Multi-Asset Fund
TGY9789AU,Trilogy Enhanced Income fund,,,Trilogy Enhanced Income,,Trilogy Enhanced Income Fund
MOT,Metrics Income Opportunities Trust,,MCP Income Opportunities Trust,MCP Income Opportunities Trust,,Metrics Income Opportunities Trust
ADV0087AU,Advance High Growth Multi-Blend W,Advance High Growth Multi-Blend - Wholesale,,,,Advance High Growth Multi-Blend Fund (Wholesale Units)
PER9072AU,AQR Wholesale Managed Futures 8P,,,AQR Wholesale Managed Futures 8P,,AQR WHOLESALE MANAGED FUTURES FUND - CLASS 8P
FSM7521AU,Federation Alternative Investments II Rt,,,Federation Alternative Investments II Rt Fund,,Federation Alternative Investments II (Retail)
FSM8350AU,Federation Alternative Investments II WS,,,Federation Alternative Investments II WS Fund,,Federation Alternative Investments II (Wholesale)
MAQ0482AU,Winton Global Alpha,Winton Global Alpha,Winton Global Alpha Fund,Winton Global Alpha,Winton Global Alpha,Winton Global Alpha Fund
CD2,Cordish Dixon Private Equity Fund II,,Cordish Dixon Private Equity Fund II,,,CD Private Equity Fund II
GTU5547AU,Invesco Global Real Estate A,,,Invesco Global Real Estate Fund A,,Invesco Global Real Estate Fund - Class A
MAQ5143AU,P/E Global FX Alpha Fund,,,P/E Global FX Alpha,,P/E Global FX Alpha Fund
PE1,Pengana Private Equity Trust,,Pengana Private Equity Trust,Pengana Private Equity Trust,,Pengana Private Equity Trust
MLC5609AU,MLC Global Private Equity,MLC Global Private Equity Fund,,,,MLC Global Private Equity Fund - Class A
CD3,Cordish Dixon Private Equity Fund III,,Cordish Dixon Private Equity Fund III,,,CD Private Equity Fund III
HOW7354AU,Ares Diversified Credit,,,Ares Diversified Credit Fund,,Ares Diversified Credit Fund
MXT,Metrics Master Income Trust,Metrics Master Income Trust,MCP Master Income Trust,MCP Master Income Trust,,Metrics Master Income Trust
OMF0005AU,Alexander Credit Opportunities Fund,Alexander Credit Opportunities Fund,,Alexander Credit Opportunities,,Alexander Credit Opportunities Fund
MAA6243AU,MA Secured Real Estate Income,,,MA Secured Real Estate Income Fund,,MA Secured Real Estate Income Fund
OMF5868AU,Realm Strategic Income Enduring,,Realm Strategic Income Fund - Enduring Units,Realm Strategic Income Enduring,,Realm Strategic Income Fund - Enduring Units
EVO2608AU,Metrics Direct Income Fund,Metrics Direct Income Fund,Metrics Direct Income Fund,Metrics Direct Income,Metrics Direct Income Fund,Metrics Direct Income Fund
MAA8010AU,MA Priority Income Fund,MA Priority Income Fund,,MA Priority Income,,MA Priority Income Fund
MA1,MA CREDIT INCOME TRUST,,,,,MA Credit Income Trust
REV,Revolution Private Credit Income Trust,,,,,Revolution Private Credit Income Trust
FHT0042AU,Harvest Lane Asset Management Abs Ret,,,Harvest Lane Asset Management Absolute Return,,Harvest Lane Asset Management Absolute Return Fund
PER0668AU,Perpetual Pure Equity Alpha,,Perpetual Pure Equity Alpha Fund,Perpetual Pure Equity Alpha                               ,,Perpetual Pure Equity Alpha Fund - Class A
CHN5843AU,CC Sage Capital Absolute Return,CC Sage Capital Absolute Return Fund,,CC Sage Capital Absolute Return,,CC Sage Capital Absolute Return Fund
MAL0029AU,BlackRock Global Allocation Aus S,,,BlackRock Global Allocation Aus S Fund,,BlackRock Global Allocation Fund (Aust) - Class S
MAL0018AU,BlackRock Global Allocation Aus D,,BlackRock Global Allocation Fund,BlackRock Global Allocation Fund (Aust) (Class D),BlackRock Global Allocation Fund (Aust),BlackRock Global Allocation Fund (Aust) - Class D
SSB0495AU,Franklin Athena A,,,,Franklin K2 Athena A,Franklin Athena Fund - Class A
BLK9419AU,iShares Global Listed Property Idx Hdg S,,,,,iShares Global Listed Property Index Fund - Class S (Hedged)
UBS0064AU,CBRE Global Infrastructure Securities,,,UBS UBS CBRE Global Infrastructure Securities Fund,UBS Clarion Global Infrastructure Securities Fund,UBS CBRE Global Infrastructure Securities Fund Retail Class (Hedged)
PPL0106AU,Antares Prof High Growth Shares,,,Antares High Growth Shares,Antares Prof High Growth Shares,Antares High Growth Shares Fund
BGL0109AU,BlackRock Advantage Hedged Intl Equity D,BlackRock Advantage Hedged International Equity Fund,,BlackRock Advantage Hedged International Equity Fund,,BlackRock Advantage Hedged International Equity Fund - Class D
FSF3532AU,Aspect Absolute Return Fund-Class A,,,,Aspect Absolute Return Fund Class A,Aspect Absolute Return Fund - Class A
ETL6126AU,GuardCap Global Equity,,,Guardcap Global Equity Fund,,GuardCap Global Equity Fund (Unhedged)
FSF1086AU,Aspect Diversified Futures-Class A,Aspect Diversified Futures-Class A,Aspect Diversified Futures Fund - Class A,CFS Aspect Diversified Futures,Aspect Diversified Futures-Class A,Aspect Diversified Futures Fund - Class A
PER0072AU,Perpetual SHARE-PLUS Long-Short,,Perpetual WS Share-Plus Long-Short Fund,Perpetual Wholesale Shareplus LongShort,,Perpetual SHARE-PLUS Long-Short Fund
HML0016AU,CBRE Global Property Securities,,,UBS Clarion Global Property Securities Fund,UBS Clarion Global Property SecuritiesFd,CBRE Global Property Securities Fund
